date,search
2021-01-07,4.54545
2021-01-08,7.24815
2021-01-09,6.6339
2021-01-10,7.98525
2021-01-11,7.49385
2021-01-12,7.6167
2021-01-13,5.52825
2021-01-14,6.26535
2021-01-15,6.01965
2021-01-16,7.371
2021-01-17,9.3366
2021-01-18,7.24815
2021-01-19,4.29975
2021-01-20,7.6167
2021-01-21,8.8452
2021-01-22,10.19656
2021-01-23,10.56511
2021-01-24,11.30221
2021-01-25,8.23095
2021-01-26,9.45945
2021-01-27,9.70515
2021-01-28,6.3882
2021-01-29,10.44226
2021-01-30,14.61916
2021-01-31,10.81081
2021-02-01,9.0909
2021-02-02,9.5823
2021-02-03,11.17936
2021-02-04,12.77641
2021-02-05,10.31941
2021-02-06,12.89926
2021-02-07,11.67076
